crash_month,crash_year,total_damage_cost,crash_period
1,2014,8529.6870179061461,DAY
1,2014,10961.951301537629,NIGHT
2,2014,2625.3590950213106,DAY
8,2014,8599.1618710608727,DAY
11,2014,566.66590744576388,DAY
1,2015,1825.659027723415,DAY
2,2015,2479.6813081254559,NIGHT
4,2015,5337.2817195639373,NIGHT
5,2015,1136.1360810928334,DAY
5,2015,10553.820478279151,NIGHT
6,2015,17283.177801813719,DAY
7,2015,59363.975703346448,DAY
7,2015,4511.1258482508192,NIGHT
8,2015,1502169.4228768165,DAY
8,2015,374212.7688651887,NIGHT
9,2015,5653732.813286298,DAY
9,2015,1279534.2983328099,NIGHT
10,2015,11371582.607685942,DAY
10,2015,2501940.2863839427,NIGHT
11,2015,10704223.426744223,DAY
11,2015,2568678.4172991943,NIGHT
12,2015,9995410.8912925422,DAY
12,2015,2399115.3803958087,NIGHT
1,2016,10827092.984851811,DAY
1,2016,3358789.4340315638,NIGHT
2,2016,10991853.310845517,DAY
2,2016,2689961.4964398965,NIGHT
3,2016,11926614.82450046,DAY
3,2016,3144728.8237839104,NIGHT
4,2016,12328676.45586339,DAY
4,2016,2776080.2954764194,NIGHT
5,2016,13648760.78385053,DAY
5,2016,3578426.6236294676,NIGHT
6,2016,11682068.366058312,DAY
6,2016,2812940.9867662429,NIGHT
7,2016,13543864.067694407,DAY
7,2016,3570549.5401404337,NIGHT
8,2016,18349005.339512575,DAY
8,2016,5182547.818136395,NIGHT
9,2016,19096027.718563993,DAY
9,2016,5286097.4123960044,NIGHT
10,2016,20163781.915246099,DAY
10,2016,5796207.1608085698,NIGHT
11,2016,19783131.642832167,DAY
11,2016,5239422.6338849068,NIGHT
12,2016,21150069.836796325,DAY
12,2016,5627364.7261987096,NIGHT
1,2017,16547104.005121889,DAY
1,2017,5315142.8981877891,NIGHT
2,2017,17142572.931938324,DAY
2,2017,4572633.926468893,NIGHT
3,2017,20757541.72567321,DAY
3,2017,5786547.6559483903,NIGHT
4,2017,20779644.931601573,DAY
4,2017,6446095.3352476871,NIGHT
5,2017,25376790.695897359,DAY
5,2017,6930424.0258160457,NIGHT
6,2017,26411065.253232121,DAY
6,2017,7174367.5242379773,NIGHT
7,2017,28149513.025215864,DAY
7,2017,10186692.863796704,NIGHT
8,2017,32642752.329548072,DAY
8,2017,10608859.539311653,NIGHT
9,2017,38291097.5834824,DAY
9,2017,13350881.598279227,NIGHT
10,2017,43024594.231549934,DAY
10,2017,14044414.261056466,NIGHT
11,2017,42230347.058919027,DAY
11,2017,12934843.983209541,NIGHT
12,2017,44921871.045067184,DAY
12,2017,13662433.848401057,NIGHT
1,2018,41265470.505546086,DAY
1,2018,13664078.19353953,NIGHT
2,2018,35508823.579713106,DAY
2,2018,11827140.123943314,NIGHT
3,2018,41049194.883725025,DAY
3,2018,12751779.712575225,NIGHT
4,2018,41084132.913335778,DAY
4,2018,14637386.078693613,NIGHT
5,2018,48106802.506097481,DAY
5,2018,14434355.511864236,NIGHT
6,2018,45332179.619893923,DAY
6,2018,14713907.288792707,NIGHT
7,2018,42374539.280338697,DAY
7,2018,14541808.559069153,NIGHT
8,2018,43640419.20260077,DAY
8,2018,13774607.541673811,NIGHT
9,2018,41572858.208350755,DAY
9,2018,14353380.030752448,NIGHT
10,2018,44870819.721208364,DAY
10,2018,13624802.932971183,NIGHT
11,2018,40371213.080865324,DAY
11,2018,12927943.259616094,NIGHT
12,2018,41349238.074931003,DAY
12,2018,15381930.754098667,NIGHT
1,2019,11319000.472100435,DAY
1,2019,3911317.0296253106,NIGHT
